po_id,supplier_id,part_id,order_date,promised_date,delivery_date,quantity,unit_price,status
PO001,SUP001,LID001,2024-01-01,2024-02-15,2024-02-18,15,2500.00,DELIVERED
PO002,SUP001,LID001,2024-02-01,2024-03-15,NULL,20,2500.00,IN_TRANSIT
PO003,SUP003,CAM001,2024-01-15,2024-02-15,2024-02-20,25,800.00,DELIVERED
PO004,SUP004,GPU001,2024-01-10,2024-03-10,NULL,10,1200.00,DELAYED
PO005,SUP005,CTR001,2024-01-20,2024-03-05,2024-03-02,15,1500.00,DELIVERED
PO006,SUP007,MOT001,2024-02-01,2024-03-12,NULL,30,800.00,IN_TRANSIT
PO007,SUP010,BAT001,2024-01-05,2024-02-09,2024-02-15,20,1000.00,DELIVERED
PO008,SUP012,CHS001,2024-01-25,2024-03-15,NULL,10,600.00,IN_TRANSIT
PO009,SUP013,JNT001,2024-02-05,2024-03-06,NULL,40,300.00,IN_TRANSIT
PO010,SUP001,LID002,2024-02-10,2024-03-25,NULL,12,3500.00,IN_TRANSIT
PO011,SUP003,CAM002,2024-01-30,2024-03-05,2024-03-08,18,1200.00,DELIVERED
PO012,SUP004,GPU002,2024-02-15,2024-04-20,NULL,8,2200.00,IN_TRANSIT
PO013,SUP010,BAT002,2024-02-20,2024-03-31,NULL,15,1500.00,IN_TRANSIT
PO014,SUP014,INF001,2024-01-15,2024-02-09,2024-02-12,35,600.00,DELIVERED
PO015,SUP009,MOT002,2024-02-25,2024-03-26,NULL,30,400.00,IN_TRANSIT